Title,Year,Distributor,Budget (in $),Domestic Opening (in $),Domestic Sales (in $),International Sales (in $),World Wide Sales (in $),Release Date,Running Time,License
The Matrix Reloaded,2003,Warner Bros.,150000000,91774413,281576461,460271476,741847937,15-May-03,2 hr 18 min,R
Elvis,2022,Warner Bros.,June 9 2022 (Slovakia),31211579,151040048,137630236,288670284,20-Mar-14,2 hr 19 min,PG-13
The Birdcage,1996,Metro-Goldwyn-Mayer (MGM),March 8 1996 (Domestic),18275828,124060553,61200000,185260553,4-Mar-09,2 hr 42 min,R
American Sniper,2014,Warner Bros.,58800000,633456,350159020,197300000,547459020,25-Dec-14,2 hr 13 min,R
Live Free or Die Hard,2007,Twentieth Century Fox,110000000,33369559,134529403,253626608,388156011,26-Jun-07,2 hr 8 min,PG-13
The Impossible,2012,Lionsgate,October 11 2012 (Spain),143818,19019882,179067330,198087212,2-Aug-12,1 hr 58 min,PG-13
What Lies Beneath,2000,DreamWorks Distribution,100000000,29702959,155464351,135956000,291420351,21-Jul-00,2 hr 10 min,PG-13
The Twilight Saga: Breaking Dawn - Part 1,2011,Summit Entertainment,110000000,138122261,281287133,430918723,712205856,16-Nov-11,1 hr 57 min,PG-13
Star Wars: Episode VI - Return of the Jedi,1983,Twentieth Century Fox,32500000,23019618,316566101,122009457,475106177,25-May-83,2 hr 11 min,PG
Mission: Impossible III,2006,Paramount Pictures,150000000,47743273,134029801,264449696,398479497,3-May-06,2 hr 6 min,PG-13
Exodus: Gods and Kings,2014,Twentieth Century Fox,140000000,24115934,65014513,203161118,268175631,4-Dec-14,2 hr 30 min,PG-13
Taken,2008,Twentieth Century Fox,25000000,24717037,145000989,81836771,226837760,27-Feb-08,1 hr 30 min,PG-13
Lucy,2014,Universal Pictures,40000000,43899340,126663600,342394974,469058574,25-Jul-14,1 hr 29 min,R
Heat,1995,Warner Bros.,December 15 1995 (Domestic),8445656,67436818,120000000,187436818,18-Oct-13,2 hr 14 min,R
Sonic the Hedgehog 2,2022,Paramount Pictures,March 25 2022 (Iceland),72105176,190872904,214548614,405421518,25-Dec-13,3 hr,R
Indiana Jones and the Kingdom of the Crystal Skull,2008,Paramount Pictures,185000000,100137835,317101119,473552823,790653942,21-May-08,2 hr 2 min,PG-13
Weathering with You,2019,GKIDS,July 19 2019 (Japan),1808533,8056636,184871072,192927708,25-Sep-09,1 hr 26 min,R
Green Book,2018,Universal Pictures,23000000,320429,85080171,236672485,321752656,16-Nov-18,2 hr 10 min,PG-13
Hot Shots!,1991,Twentieth Century Fox,26000000,10848182,69467617,111628547,181096164,31-Jul-91,1 hr 24 min,NA
Beverly Hills Cop,1984,Paramount Pictures,December 5 1984 (Domestic),15214805,234760478,81600000,316360478,21-Dec-01,2 hr 15 min,PG-13
Smurfs: The Lost Village,2017,Sony Pictures Entertainment (SPE),60000000,13210449,45020282,152163264,197183546,29-Mar-17,1 hr 30 min,PG
X-Men: Apocalypse,2016,Twentieth Century Fox,178000000,65769562,155442489,388491616,543934105,18-May-16,2 hr 24 min,PG-13
Eat Pray Love,2010,Sony Pictures Entertainment (SPE),60000000,23104523,80574010,124020006,204594016,13-Aug-10,2 hr 13 min,PG-13
Guardians of the Galaxy Vol. 3,2023,Walt Disney Studios Motion Pictures,April 13 2023 (Italy),118414021,358995815,486559962,845555777,14-Nov-12,1 hr 55 min,PG-13
Indecent Proposal,1993,Paramount Pictures,April 9 1993 (Domestic),18387632,106614059,160000000,266614059,19-Jun-92,2 hr 6 min,PG-13
Fast X,2023,Universal Pictures,April 27 2023 (Italy),67017410,145960660,558749000,704709660,28-Jun-07,2 hr 24 min,PG-13
Snow White and the Huntsman,2012,Universal Pictures,170000000,56217700,155332381,241260448,396592829,30-May-12,2 hr 7 min,PG-13
The Post,2017,Twentieth Century Fox,50000000,526011,81903458,111861206,193764664,22-Dec-17,1 hr 56 min,PG-13
The White Storm 2: Drug Lords,2019,CMC Pictures,July 5 2019 (China),244795,609461,188786919,189396380,4-Aug-00,1 hr 52 min,R
Annabelle,2014,Warner Bros.,6500000,37134255,84284252,173305469,257589721,23-Sep-14,1 hr 39 min,R
Ocean's Eleven,2001,Warner Bros.,85000000,38107822,183417150,267300000,450717150,7-Dec-01,1 hr 56 min,PG-13
Penguins of Madagascar,2014,Twentieth Century Fox,132000000,25447444,83850911,289664710,373515621,14-Nov-14,1 hr 32 min,PG
The Fugitive,1993,Warner Bros.,August 6 1993 (Domestic),23758855,183875760,185000000,368875760,2-Oct-14,2 hr 29 min,R
Finding Nemo,2003,Walt Disney Studios Motion Pictures,94000000,70251710,380843261,560794699,941637960,30-May-03,1 hr 40 min,G
One Hundred and One Dalmatians,1961,Walt Disney Studios Motion Pictures,62000000,January 25 1961 (Domestic),144880014,71000000,215880014,5-Aug-94,2 hr 21 min,PG-13
Brother Bear,2003,Walt Disney Studios Motion Pictures,October 24 2003 (Domestic),291940,85336277,165061521,250397798,13-Dec-06,1 hr 44 min,PG
Master and Commander: The Far Side of the World,2003,Twentieth Century Fox,150000000,25105990,93927920,117694615,211622535,14-Nov-03,2 hr 18 min,PG-13
Elysium,2013,TriStar Pictures,115000000,29807393,93050117,193090583,286140700,8-Aug-13,1 hr 49 min,R
The Truman Show,1998,Paramount Pictures,June 5 1998 (Domestic),31542121,125618201,138500511,264118712,28-Jul-95,2 hr 15 min,PG-13
Get Smart,2008,Warner Bros.,80000000,38683480,130319208,100366245,230685453,19-Jun-08,1 hr 50 min,PG-13
Garfield,2004,Twentieth Century Fox,50000000,21727611,75369589,127802828,203172417,11-Jun-04,1 hr 20 min,PG
Rocketman,2019,Paramount Pictures,40000000,25725722,96368160,98952240,195320400,24-May-19,2 hr 1 min,R
The Fifth Element,1997,Sony Pictures Entertainment (SPE),May 9 1997 (Domestic),17031345,63820180,200100000,263920180,3-Nov-00,1 hr 38 min,PG-13
The Hunger Games: Mockingjay - Part 1,2014,Lionsgate,125000000,121897634,337135885,418220826,755356711,19-Nov-14,2 hr 3 min,PG-13
Shrek the Third,2007,DreamWorks,160000000,121629270,322719944,490647436,813367380,17-May-07,1 hr 33 min,PG
The Little Mermaid,2023,Walt Disney Studios Motion Pictures,May 4 2023 (Italy),95578040,298172056,271420242,569592298,11-Feb-15,2 hr 5 min,R
10000 BC,2008,Warner Bros.,105000000,35867488,94784201,175000000,269784201,5-Mar-08,1 hr 49 min,PG-13
The Hitman's Bodyguard,2017,Lionsgate,30000000,21384504,75468583,107960106,183428689,16-Aug-17,1 hr 58 min,R
King Arthur,2004,Walt Disney Studios Motion Pictures,120000000,15193907,51882244,151685613,203567857,7-Jul-04,2 hr 6 min,PG-13
Spy,2015,Twentieth Century Fox,65000000,29085719,110825712,124840507,235666219,21-May-15,2 hr,R
Gone with the Wind,1939,Metro-Goldwyn-Mayer (MGM),130000000,December 15 1939 (Domestic),200882193,201500000,402382193,30-May-12,2 hr 4 min,R
The Dark Knight Rises,2012,Warner Bros.,250000000,160887295,448149584,633020241,1081169825,19-Jul-12,2 hr 44 min,PG-13
Doctor Strange,2016,Walt Disney Studios Motion Pictures,165000000,85058311,232641920,445154156,677796076,25-Oct-16,1 hr 55 min,PG-13
Ghostbusters: Afterlife,2021,Sony Pictures Entertainment (SPE),November 18 2021 (7 markets),44008406,129360575,74973880,204334455,11-Oct-19,1 hr 26 min,PG
Encanto,2021,Walt Disney Studios Motion Pictures,November 24 2021 (11 markets),27206494,96093622,160693120,256786742,23-Sep-14,1 hr 39 min,R
Mr. Peabody & Sherman,2014,Twentieth Century Fox,145000000,32207057,111506430,164191609,275698039,7-Feb-14,1 hr 32 min,PG
Straight Outta Compton,2015,Universal Pictures,28000000,60200180,161197785,40437206,201634991,14-Aug-15,2 hr 27 min,R
Spider-Man: Across the Spider-Verse,2023,Columbia Pictures,May 31 2023 (France),120663589,381311319,308499543,689810862,8-Mar-12,2 hr 22 min,PG-13
Rambo III,1988,TriStar Pictures,63000000,13034238,53715611,135300000,189015611,25-May-88,1 hr 42 min,NA
Shutter Island,2010,Paramount Pictures,80000000,41062440,128012934,166792763,294805697,18-Feb-10,2 hr 18 min,R
Annabelle: Creation,2017,Warner Bros.,15000000,35006404,102092201,204423683,306515884,3-Aug-17,1 hr 49 min,R
Bad Teacher,2011,Sony Pictures Entertainment (SPE),20000000,31603106,100292856,115904636,216197492,17-Jun-11,1 hr 32 min,R
The Longest Yard,2005,Paramount Pictures,82000000,47606480,158119460,33347096,191466556,27-May-05,1 hr 53 min,PG-13
Hotel Transylvania 2,2015,Sony Pictures Entertainment (SPE),80000000,48464322,169700110,305486596,475186706,21-Sep-15,1 hr 29 min,PG
Pacific Rim,2013,Warner Bros.,190000000,37285325,101802906,309200000,411002906,11-Jul-13,2 hr 11 min,PG-13
Ted 2,2015,Universal Pictures,68000000,33507870,81476385,134387221,215863606,19-Jun-15,1 hr 55 min,R
Turbo,2013,Twentieth Century Fox,135000000,21312625,83028128,199542554,282570682,10-Jul-13,1 hr 36 min,PG
Harry Potter and the Chamber of Secrets,2002,Warner Bros.,100000000,88357488,262641637,663316557,925958195,14-Nov-02,2 hr 41 min,PG
Alvin and the Chipmunks: The Squeakquel,2009,Twentieth Century Fox,75000000,48875415,219614612,223525393,443140005,21-Dec-09,1 hr 28 min,PG
As Good as It Gets,1997,Sony Pictures Entertainment (SPE),50000000,12606928,148478011,165700000,314178011,23-Dec-97,2 hr 19 min,PG-13
Baahubali 2: The Conclusion,2017,Great India Films,April 27 2017 (EMEA APAC),10430497,20186659,233971731,254158390,28-May-93,1 hr 53 min,R
The Expendables 3,2014,Lionsgate,August 7 2014 (APAC EMEA),15879645,39322544,175335033,214657577,9-Feb-11,1 hr 57 min,PG-13
Skyfall,2012,Sony Pictures Entertainment (SPE),200000000,88364714,304360277,838111018,1142471295,25-Oct-12,2 hr 23 min,PG-13
Sherlock Holmes: A Game of Shadows,2011,Warner Bros.,December 15 2011 (EMEA APAC),39637079,186848418,357000000,543848418,18-May-16,2 hr 24 min,PG-13
Harry Potter and the Deathly Hallows: Part 1,2010,Warner Bros.,November 17 2010 (APAC EMEA),125017372,296374621,680695761,977070383,20-Dec-17,1 hr 59 min,PG-13
Transformers,2007,DreamWorks,150000000,70502384,319246193,390463587,709709780,28-Jun-07,2 hr 24 min,PG-13
Lilo & Stitch,2002,Walt Disney Studios Motion Pictures,80000000,35260212,145794338,127349813,273144151,21-Jun-02,1 hr 25 min,PG
A.I. Artificial Intelligence,2001,Warner Bros.,100000000,29352630,78616689,157309863,235926552,29-Jun-01,2 hr 26 min,PG-13
The Day After Tomorrow,2004,Twentieth Century Fox,125000000,68743584,186740799,365898772,552639571,26-May-04,2 hr 4 min,PG-13
Dungeons & Dragons: Honor Among Thieves,2023,Paramount Pictures,March 29 2023 (APAC EMEA),37205784,93277026,114900000,208177026,1-Jun-16,1 hr 50 min,PG-13
The Silence of the Lambs,1991,Orion Pictures,19000000,13766814,130742922,142000000,272742922,14-Feb-91,1 hr 58 min,NA
Face/Off,1997,Paramount Pictures,80000000,23387530,112276146,133400000,245676146,27-Jun-97,2 hr 18 min,R
This Is It,2009,Sony Pictures Entertainment (SPE),October 28 2009 (47 markets),23234394,72091016,189092572,261183588,1-Jun-90,1 hr 53 min,NA
Patch Adams,1998,Universal Pictures,90000000,25262280,135026902,67266000,202292902,25-Dec-98,1 hr 55 min,PG-13
Enemy of the State,1998,Walt Disney Studios Motion Pictures,90000000,20038573,111549836,139299953,250849789,20-Nov-98,2 hr 12 min,R
Little Fockers,2010,Universal Pictures,100000000,30833665,148438600,162211985,310650585,22-Dec-10,1 hr 38 min,PG-13
Bridget Jones's Baby,2016,Universal Pictures,35000000,8571785,24252420,187700000,211952420,14-Sep-16,2 hr 3 min,R
The Addams Family,1991,Paramount Pictures,30000000,24203754,113502426,78000000,191502426,22-Nov-91,1 hr 39 min,NA
Look Who's Talking,1989,TriStar Pictures,October 13 1989 (Domestic),12107784,140088813,156911000,296999813,18-Mar-15,1 hr 59 min,PG-13
Your Name.,2016,FUNimation Entertainment,August 26 2016 (Japan),1813781,5017246,377220935,382238181,14-Mar-02,1 hr 21 min,PG
Gravity,2013,Warner Bros.,100000000,55785112,274092705,473957244,748049949,3-Oct-13,1 hr 31 min,PG-13
Dangal,2016,UTV Motion Pictures,December 21 2016 (Domestic),3248481,12391761,291331875,303723636,6-Feb-13,1 hr 38 min,R
Kindergarten Cop,1990,Universal Pictures,15000000,7918560,91457688,110500000,201957688,22-Dec-90,1 hr 51 min,NA
Dirty Dancing,1987,Vestron Pictures,6000000,3900000,64577242,150000000,214577242,21-Aug-87,1 hr 40 min,NA
8 Mile,2002,Universal Pictures,41000000,51240555,116750901,126124177,242875078,8-Nov-02,1 hr 50 min,R
Mary Poppins Returns,2018,Walt Disney Studios Motion Pictures,130000000,23523121,171958438,177587704,349546142,19-Dec-18,2 hr 10 min,PG
Mission: Impossible II,2000,Paramount Pictures,125000000,57845297,215409889,330978219,546388108,24-May-00,2 hr 3 min,PG-13
The Angry Birds Movie,2016,Sony Pictures Entertainment (SPE),73000000,38155177,107509366,244824563,352333929,11-May-16,1 hr 37 min,PG
Twilight,2008,Summit Entertainment,37000000,69637740,193962473,214467942,408430415,20-Nov-08,2 hr 2 min,PG-13
The Lost City,2022,Paramount Pictures,March 23 2022 (Indonesia),30453269,105344029,87563655,192907684,25-Sep-09,1 hr 26 min,R
Bumblebee,2018,Paramount Pictures,135000000,21654047,127195589,340794056,467989645,19-Dec-18,1 hr 54 min,PG-13
Argo,2012,Warner Bros.,44500000,19458109,136025503,96300000,232325503,11-Oct-12,2 hr,R
The Equalizer,2014,Sony Pictures Entertainment (SPE),55000000,34137828,101530738,90800000,192330738,24-Sep-14,2 hr 12 min,R
Goodbye Mr. Loser,2015,China Lion Film Distribution,September 25 2015 (China),363949,1293626,226829302,228122928,14-Feb-07,1 hr 50 min,PG-13
I Am Legend,2007,Warner Bros.,150000000,77211321,256393010,329017042,585410052,12-Dec-07,1 hr 41 min,PG-13
Paddington 2,2017,Warner Bros.,November 9 2017 (EMEA),11001961,40907738,187087054,227994792,14-Feb-07,1 hr 50 min,PG-13
Clear and Present Danger,1994,Paramount Pictures,62000000,20348017,122187717,93700000,215887717,5-Aug-94,2 hr 21 min,PG-13
Fatal Attraction,1987,Paramount Pictures,September 18 1987 (Domestic),7602740,156645693,163500000,320145693,18-Jul-13,1 hr 52 min,R
F9: The Fast Saga,2021,Universal Pictures,May 19 2021 (APAC EMEA),70043165,173005945,553223556,726229501,28-May-09,1 hr 36 min,PG
Over the Hedge,2006,DreamWorks,May 19 2006 (Domestic APAC),38457003,155019340,184776550,339795890,21-Nov-07,1 hr 47 min,PG
Spider-Man 3,2007,Sony Pictures Entertainment (SPE),258000000,151116516,336530303,558453070,894983373,1-May-07,2 hr 19 min,PG-13
The Jungle Book,2016,Walt Disney Studios Motion Pictures,175000000,103261464,364001123,603723652,967724775,7-Apr-16,1 hr 46 min,PG
The Captain,2019,Well Go USA Entertainment,September 30 2019 (China),324769,706572,416575449,417282021,28-May-08,2 hr 25 min,R
Black Swan,2010,Fox Searchlight,13000000,1443809,106954678,222443368,329398046,3-Dec-10,1 hr 48 min,R
Wedding Crashers,2005,New Line Cinema,40000000,32200000,209273411,79211724,288485135,14-Jul-05,1 hr 59 min,R
The Terminal,2004,DreamWorks Distribution,60000000,19053199,77872883,141227201,219100084,18-Jun-04,2 hr 8 min,PG-13
Godzilla,2014,Warner Bros.,160000000,93188384,200676069,324300000,524976069,14-May-14,2 hr 3 min,PG-13
The Lego Movie,2014,Warner Bros.,60000000,69050279,257966122,210300000,468266122,6-Feb-14,1 hr 40 min,PG
Transformers: Dark of the Moon,2011,DreamWorks,195000000,97852865,352390543,771403536,1123794079,29-Jun-11,2 hr 34 min,PG-13
101 Dalmatians,1996,Walt Disney Studios Motion Pictures,November 27 1996 (Domestic),33504025,136189294,184500000,320689294,19-Aug-09,2 hr 33 min,R
The World Is Not Enough,1999,Metro-Goldwyn-Mayer (MGM),135000000,35519007,126943684,234888716,361832400,19-Nov-99,2 hr 8 min,PG-13
Back to the Future,1985,Universal Pictures,19000000,11152500,212836762,170500000,383336762,3-Jul-85,1 hr 56 min,NA
Batman Forever,1995,Warner Bros.,100000000,52784433,184069126,152498032,336567158,16-Jun-95,2 hr 1 min,PG-13
Horton Hears a Who!,2008,Twentieth Century Fox,85000000,45012998,154529439,144043360,298572799,12-Mar-08,1 hr 26 min,NA
Rush Hour 2,2001,New Line Cinema,90000000,67408222,226164286,121161516,347325802,3-Aug-01,1 hr 30 min,PG-13
Black Adam,2022,Warner Bros.,October 14 2022 (Iceland),67004323,168152111,225100000,393252111,16-Jun-78,1 hr 50 min,PG
The Jungle Book,1967,Walt Disney Studios Motion Pictures,85000000,October 18 1967 (Domestic),141843612,64000000,205843612,5-Dec-06,2 hr 16 min,PG-13
Alita: Battle Angel,2019,Twentieth Century Fox,170000000,28525613,85838210,319142333,404980543,5-Feb-19,2 hr 2 min,PG-13
The Bravest,2019,Sony Pictures Entertainment (SPE),August 1 2019 (China APAC),110375,290217,244889345,245179562,19-Jun-03,2 hr 18 min,PG-13
Cars 3,2017,Walt Disney Studios Motion Pictures,June 15 2017 (13 markets),53688680,152901115,231029541,383930656,12-Dec-18,1 hr 57 min,PG
The Flintstones,1994,Universal Pictures,46000000,29688730,130531208,211100000,341631208,27-May-94,1 hr 31 min,PG
The Godfather,1972,Paramount Pictures,6000000,302393,136381073,113960743,250341816,15-Mar-72,2 hr 55 min,NA
The Chronicles of Narnia: The Lion the Witch and the Wardrobe,2005,Walt Disney Studios Motion Pictures,180000000,65556312,291710957,453302158,745013115,7-Dec-05,2 hr 23 min,PG
Australia,2008,Twentieth Century Fox,130000000,14800723,49554002,162233509,211787511,26-Nov-08,2 hr 45 min,PG-13
Star Wars: Episode III - Revenge of the Sith,2005,Twentieth Century Fox,113000000,108435841,380270577,488119983,868390560,18-May-05,2 hr 20 min,PG-13
You've Got Mail,1998,Warner Bros.,65000000,18426749,115821495,135000000,250821495,18-Dec-98,1 hr 59 min,PG
Monsters University,2013,Walt Disney Studios Motion Pictures,June 19 2013 (Egypt),82429469,268492764,475066881,743559645,7-Dec-05,2 hr 23 min,PG
Crouching Tiger Hidden Dragon,2000,Sony Pictures Classics,17000000,663205,128530421,85446864,213977285,8-Dec-00,2 hr,PG-13
Ghost,1990,Paramount Pictures,22000000,12191540,217631306,288072251,505703557,13-Jul-90,2 hr 7 min,NA
Pirates of the Caribbean: Dead Man's Chest,2006,Walt Disney Studios Motion Pictures,225000000,135634554,423315812,642863935,1066179747,6-Jul-06,2 hr 31 min,PG-13
My People My Country,2019,CMC Pictures,September 25 2019 (China),876001,2356683,447708310,450064993,7-Dec-01,1 hr 56 min,PG-13
Scary Movie 3,2003,Dimension Films,48000000,49700000,110003217,110670000,220673217,24-Oct-03,1 hr 24 min,PG-13
True Lies,1994,Twentieth Century Fox,115000000,25869770,146282411,232600000,378882411,15-Jul-94,2 hr 21 min,R
Zootopia,2016,Walt Disney Studios Motion Pictures,February 10 2016 (Belgium),75063401,341268248,684253441,1025521689,19-May-99,2 hr 16 min,PG
Star Trek Into Darkness,2013,Paramount Pictures,190000000,70165559,228778661,238586585,467365246,8-May-13,2 hr 12 min,PG-13
The Grinch,2018,Universal Pictures,75000000,67572855,271384731,255375901,526760632,7-Nov-18,1 hr 25 min,PG
The Departed,2006,Warner Bros.,90000000,26887467,132399394,159081058,291480452,5-Oct-06,2 hr 31 min,R
Gnomeo & Juliet,2011,Walt Disney Studios Motion Pictures,February 10 2011 (APAC EMEA),25356909,99967670,94000000,193967670,15-Sep-05,1 hr 25 min,NA
Kingdom of Heaven,2005,Twentieth Century Fox,130000000,19635996,47398413,170724214,218122627,4-May-05,2 hr 24 min,R
Scooby-Doo,2002,Warner Bros.,84000000,54155312,153322074,122356539,275678613,14-Jun-02,1 hr 29 min,PG
Passengers,2016,Sony Pictures Entertainment (SPE),110000000,14869736,100014699,203129453,303144152,21-Dec-16,1 hr 56 min,PG-13
Mad Max: Fury Road,2015,Warner Bros.,150000000,45428128,154280290,225800000,380080290,7-May-15,2 hr,R
Bridget Jones's Diary,2001,Miramax,25000000,10733933,71543427,262729136,334272563,13-Apr-01,1 hr 37 min,R
Man of Steel,2013,Warner Bros.,225000000,116619362,291045518,377000000,668045518,12-Jun-13,2 hr 23 min,PG-13
Back to the Future Part III,1990,Universal Pictures,40000000,19089645,88277583,156800000,245077583,25-May-90,1 hr 58 min,NA
Oz the Great and Powerful,2013,Walt Disney Studios Motion Pictures,215000000,79110453,234911825,258400000,493311825,6-Mar-13,2 hr 10 min,PG
Avengers: Age of Ultron,2015,Walt Disney Studios Motion Pictures,250000000,191271109,459005868,946012180,1405018048,22-Apr-15,2 hr 21 min,PG-13
Alice in Wonderland,2010,Walt Disney Studios Motion Pictures,200000000,116101023,334191110,691277106,1025468216,3-Mar-10,1 hr 48 min,PG
American Pie,1999,Universal Pictures,11000000,18709680,102561004,132922000,235483004,9-Jul-99,1 hr 35 min,R
Resident Evil: The Final Chapter,2016,Screen Gems,40000000,13601682,26830068,285412558,312242626,23-Dec-16,1 hr 47 min,R
The Help,2011,Walt Disney Studios Motion Pictures,25000000,26044590,169708112,46931000,216639112,10-Aug-11,2 hr 26 min,PG-13
Fantastic Four: Rise of the Silver Surfer,2007,Twentieth Century Fox,130000000,58051684,131921738,169991393,301913131,13-Jun-07,1 hr 32 min,PG
Prince of Persia: The Sands of Time,2010,Walt Disney Studios Motion Pictures,200000000,30095259,90759676,245606000,336365676,16-Jul-09,1 hr 56 min,PG-13
Puss in Boots: The Last Wish,2022,Universal Pictures,December 7 2022 (APAC EMEA),12429515,185535345,295510492,481045837,3-Aug-11,1 hr 45 min,PG-13
The Wandering Earth,2019,CMC Pictures,January 31 2019 (Australia),1685287,5971413,694021099,699992512,6-Sep-17,2 hr 15 min,R
The Eight Hundred,2020,CMC Pictures,August 21 2020 (China),118161,372755,461048804,461421559,8-Jun-06,1 hr 57 min,NA
The Intern,2015,Warner Bros.,35000000,17728313,75764672,118800000,194564672,24-Sep-15,2 hr 1 min,PG-13
One Piece Film: Red,2022,Crunchyroll,August 6 2022 (Japan),9340245,12775324,174395380,187170704,22-Oct-04,1 hr 31 min,PG-13
Stand by Me Doraemon,2014,July 31, 2014,70000000,1 hr 35 min,183442714,183442714,183510278,22-Sep-16,1 hr 27 min,PG
Casino Royale,2006,Sony Pictures Entertainment (SPE),150000000,40833156,167445960,449059202,616505162,15-Nov-06,2 hr 24 min,PG-13
Saturday Night Fever,1977,Paramount Pictures,December 16 1977 (Domestic),3878099,94213184,142900000,237113184,9-Jun-00,1 hr 58 min,PG-13
Barbie,2023,Warner Bros.,July 19 2023 (EMEA APAC),162022044,630450087,797000000,1427450087,20-Nov-19,1 hr 43 min,PG
Atlantis: The Lost Empire,2001,Walt Disney Studios Motion Pictures,120000000,329011,84056472,101997253,186053725,8-Jun-01,1 hr 35 min,PG
The Croods,2013,Twentieth Century Fox,135000000,43639736,187168425,400067558,587235983,15-Mar-13,1 hr 38 min,PG
Captain America: Civil War,2016,Walt Disney Studios Motion Pictures,250000000,179139142,408084349,746962067,1155046416,27-Apr-16,2 hr 27 min,PG-13
JFK,1991,Warner Bros.,December 20 1991 (Domestic),5223658,70405498,135000000,205405498,26-Feb-09,1 hr 36 min,R
Iron Man 3,2013,Walt Disney Studios Motion Pictures,200000000,174144585,409013994,806563211,1215577205,24-Apr-13,2 hr 10 min,PG-13
Jungle Cruise,2021,Walt Disney Studios Motion Pictures,July 28 2021 (EMEA),35018731,116987516,103901930,220889446,12-Oct-17,1 hr 49 min,PG-13
Free Guy,2021,20th Century Studios,August 11 2021 (EMEA APAC),28365416,121626598,209900000,331526598,22-Nov-89,1 hr 48 min,NA
Pocahontas,1995,Walt Disney Studios Motion Pictures,June 16 1995 (Domestic),2689714,141579773,204500000,346079773,18-Jan-17,1 hr 47 min,PG-13
Constantine,2005,Warner Bros.,100000000,29769098,75976178,154908550,230884728,8-Feb-05,2 hr 1 min,R
Fast Five,2011,Universal Pictures,125000000,86198765,209837675,416300000,626137675,20-Apr-11,2 hr 10 min,PG-13
Chicken Run,2000,DreamWorks Distribution,45000000,17506162,106834564,118040396,224874960,23-Jun-00,1 hr 24 min,NA
